feature,bin,n_cases,mean_feature_min,mean_feature_max,mean_feature_value,mean_high_stress_fraction,median_high_stress_fraction,std_high_stress_fraction,mean_stress_p95,max_stress_max
rho_normalized,1,199,0.36246201259747673,0.48246237074370557,0.4423611701103968,0.22612010988612097,0.2409555495608908,0.05027169002273136,14.855995634170851,37.491329
rho_normalized,3,199,0.5371316683701581,0.5727132467365805,0.5557433332640813,0.16160983558803518,0.1802295956598627,0.04188425908552107,11.294225313065324,33.242294
rho_normalized,11,199,0.8507276048217165,1.0,0.9062753344318958,0.07026364890029815,0.00215801462654358,0.11739180259365375,8.86627261080402,36.294758
rho_normalized,2,199,0.4824638641834819,0.5371305535319897,0.5119797522004779,0.05775934794916946,0.061894913526961005,0.012503227679430637,8.647967045226126,36.363804
rho_normalized,4,199,0.5727138735563911,0.5998227166507926,0.5867752135567019,0.048270214518221125,0.05137273708188467,0.015141377092104193,8.236277935427134,29.278391
rho_normalized,5,199,0.5998234996467398,0.6267219588459636,0.6131014993235757,0.01955661471340758,0.019662500374666547,0.010729406579326943,7.20227312964824,17.41164
rho_normalized,0,199,0.0,0.3624604192117973,0.1715293881049031,0.010696239861337619,0.009890900371658075,0.005461653928923607,5.54504274045226,22.000736
rho_normalized,6,199,0.6267229713190888,0.660167012830447,0.6429769231460419,0.004400204421080314,0.0028774390792194945,0.003832228031662181,6.206922740201004,16.630463
rho_normalized,10,199,0.7866234755983996,0.8507258113326884,0.8178205607918896,0.0008848908391129885,0.0,0.002746764892278834,6.977336620100503,13.188416
rho_normalized,7,199,0.6601682318048336,0.6948783640791125,0.6769845486798157,0.00023526799841608304,0.0,0.0008624122968125622,5.895969883919598,16.183212
rho_normalized,9,199,0.7348068106832858,0.7866221276046886,0.7596744268514581,0.00014113067510619068,8.99199712256092e-05,0.00024098607528497284,6.33261118040201,12.366987
rho_normalized,8,199,0.6948792138899043,0.7348056914179261,0.7142571998752438,6.461392202590703e-05,0.0,0.00028239137311885884,6.073149944723618,11.767267
theta,11,199,0.521188017160819,0.7734892854359027,0.5997871850207837,0.12995441179039907,0.1343663829277065,0.019697025654417246,14.35131114899497,37.491329
theta,2,199,0.204143780296585,0.2335806211361421,0.2182918519340035,0.09821158666274453,0.10337799358570872,0.012747464586504208,10.271372013567834,36.863369
theta,0,199,0.007523344267114475,0.16091702681515918,0.10261459680957498,0.07791264197742098,0.07325260760100707,0.013335683967177145,9.739893066080398,33.822853
theta,8,199,0.4230730145611788,0.4540014246667159,0.4388648998591771,0.07053294888300753,0.07732885745114494,0.015203749273450513,9.217754175628139,36.747028
theta,9,199,0.4540019757264986,0.48125522535272003,0.46804746724558355,0.06950512536305,0.0760722956568654,0.017456973129491238,9.160575099999996,35.525909
theta,3,199,0.23358092487538532,0.26415146101452003,0.2488794209308796,0.046562579404832216,0.04708809159847736,0.003061572196860219,8.24939368492462,35.500061
theta,1,199,0.1609174126687391,0.20414250845432255,0.18588552175869996,0.02400200504967664,0.020561700086922638,0.008232712126889443,7.473572870351758,33.940681
theta,10,199,0.481255983726194,0.5211863808986503,0.4990764328841401,0.021727496698792346,0.023708899079818962,0.005455644280520873,7.26021496482412,22.903828
theta,7,199,0.3855755271691541,0.42307254194413496,0.4056429567651093,0.017905973231562605,0.01612564817312592,0.005889085585025421,7.106198494472361,33.894665
theta,5,199,0.2974674057012093,0.34020992208424367,0.31771884831909936,0.01584142876658869,0.00791295746785361,0.01773342769126179,7.450859743718591,35.600883
theta,4,199,0.26415175130765556,0.2974660560492469,0.28099914881457094,0.014908194009250184,0.010280541901450665,0.012343615938018096,7.220301357035176,36.294758
theta,6,199,0.34021091447924356,0.3855747260367061,0.3644998289184245,0.01293281140588896,0.0072235710217906065,0.013043047013895793,7.118918927135677,34.798912
z,11,199,813.1865127286432,885.3344453467337,851.2144638057965,0.1721463991820992,0.1840306917635775,0.040781502527187694,11.619662240954773,37.491329
z,0,199,1.7593817236180904,73.67458091959799,35.64325142674634,0.08262780151808076,0.08473204651720417,0.01754418660670894,9.514592465326631,32.352127
z,6,199,446.12099194472364,518.940724718593,480.46863675323624,0.05376310560987656,0.04699817162725175,0.015609902254649808,8.53817092613065,34.201813
z,7,199,518.9407348442211,593.2740146984925,554.6669960018965,0.05298425105173983,0.04960585079279441,0.012560767803088705,8.478694977386933,36.294758
z,5,199,367.700281160804,440.5134813969849,406.1588686146509,0.0430141294850598,0.04007433384287984,0.008290499254881635,8.031594565326632,34.916794
z,8,199,593.274018080402,666.0864708693467,628.930682135795,0.0415485592450925,0.03746553171082604,0.01269191398814152,8.08680930929648,33.915676
z,10,199,740.4042907537689,813.1864234773869,777.3627501079073,0.03453213072526256,0.03464916224560141,0.011266161460435273,7.377041579899496,27.16367
z,4,199,293.4121799095478,367.7002667487437,331.9894393359861,0.031061975746132654,0.029013307756863685,0.006843398617517972,7.324068359798993,31.54768
z,9,199,666.0864751658293,740.4042769597991,703.1573918762767,0.028447546005663,0.026466444864070977,0.007202537838190609,7.188475287437183,33.076939
z,3,199,220.6608291758794,293.412173,257.78186997786537,0.023383108631308085,0.02271977939633726,0.003932662461130389,6.6209086155778865,29.486679
z,2,199,146.40715072864322,220.66082562311558,183.62309711902316,0.018727151930259457,0.018583460719959238,0.003357189688991721,6.1857609507537665,26.271887
z,1,199,73.67463202512563,146.4071453919598,109.47282513609606,0.017760022725502946,0.018463567424991757,0.002918755976901275,6.145986926633163,22.719234
