case_a,case_b,case_number_a,case_number_b,input_distribution_distance,stress_distribution_distance,response_profile_distance,stress_p95_relative_difference,stress_p99_relative_difference,stress_max_relative_difference,input_distribution_distance_percentile,stress_distribution_distance_percentile,response_profile_distance_percentile,combined_distance_percentile_score,rank_of_b_from_a,rank_of_a_from_b,similarity_candidate,provisional_practical_screen
case_03,case_07,3,7,0.10476864502090019,0.027054753141723967,0.15122191911991253,0.00987320952363018,0.0018600270122054643,0.0008222015246104765,0.00030455306837216383,0.0002030353789147759,0.00045682960255824577,0.0003214726832817285,1,1,True,practically_close_under_integrated_presplit_screen
case_124,case_190,124,190,0.08290926786712184,0.030165574792070268,0.1870874854646829,0.004006182353244383,0.002054028434704124,0.012676126369644696,0.00015227653418608191,0.0004060707578295518,0.0014720064971321253,0.0006767845963825863,1,1,True,practically_close_under_integrated_presplit_screen
case_101,case_120,101,120,0.11044131132041857,0.04531968466496505,0.1310622351824705,0.009953883821666886,0.007422609318453118,0.010484440436141147,0.0003553119131008578,0.002030353789147759,0.00015227653418608191,0.0008459807454782327,1,1,True,practically_close_under_integrated_presplit_screen
case_08,case_09,8,9,0.0707780426581307,0.051984195785769814,0.13750271043744614,0.007818672692153146,0.00628873885068521,0.008694520198013245,0.00010151768945738795,0.0030455306837216386,0.00025379422364346985,0.0011336141989408321,1,1,True,practically_close_under_integrated_presplit_screen
case_156,case_190,156,190,0.2305481484155842,0.02433450486766539,0.13439762084980433,0.0011492836222248305,0.005316845467905022,0.009725117192306416,0.004923607938683316,5.0758844728693974e-05,0.0002030353789147759,0.0017258007207755952,1,2,True,practically_close_under_integrated_presplit_screen
case_83,case_120,83,120,0.09875753383155357,0.05850182565188935,0.19177863728495173,0.0005213312072547371,0.005513782717072303,0.010839476325358402,0.00025379422364346985,0.00395918988883813,0.0017258007207755952,0.001979594944419065,1,2,True,practically_close_under_integrated_presplit_screen
case_191,case_192,191,192,0.20149147268909529,0.042379494778896395,0.2169928310941908,0.0036920814565547543,0.012614745230669725,0.005440816201832355,0.0028424953048068625,0.0012689711182173494,0.0029440129942642505,0.0023518264724294875,1,1,True,practically_close_under_integrated_presplit_screen
case_52,case_67,52,67,0.155659287272259,0.04907708104744414,0.23639125334355415,0.00881057296469524,0.001166334472357257,0.01724363817505127,0.0011166945840312675,0.002487183391706005,0.004517537180853764,0.002707138385530345,1,1,True,practically_close_under_integrated_presplit_screen
case_139,case_192,139,192,0.17797723641363564,0.06574797419370677,0.18362166652871967,0.016672557129483134,0.02072138973665117,0.006368897658788651,0.002030353789147759,0.005329678696512867,0.0013704888076747374,0.0029101737644451216,1,2,True,practically_close_under_integrated_presplit_screen
case_139,case_191,139,191,0.20711031943732966,0.043579425815308395,0.2298909825540138,0.012980675433967298,0.008107174299794077,0.011809611553951478,0.0031470483731790263,0.0016750418760469012,0.00395918988883813,0.0029270933793546857,2,2,True,practically_close_under_integrated_presplit_screen
case_12,case_100,12,100,0.18033682993863331,0.026252036063040184,0.2542137474478501,0.006554005206801416,0.004362409131159621,0.006347536130932841,0.002131871478605147,0.00015227653418608191,0.006700167504187605,0.002994771838992945,1,1,True,practically_close_under_integrated_presplit_screen
case_42,case_43,42,43,0.173105770369449,0.059736115455564426,0.22373261215074616,0.010389940079778124,0.012302418877269704,0.00784886230486366,0.0016750418760469012,0.004162225267752906,0.0036038779757372724,0.0031470483731790267,1,1,True,practically_close_under_integrated_presplit_screen
case_119,case_188,119,188,0.2508969270442292,0.046945002588237764,0.18751300049898412,0.009288639112610152,0.017117632130793006,0.004088488447848484,0.006395614435815441,0.0022841480127912287,0.0015227653418608193,0.0034008425968224966,1,1,True,practically_close_under_integrated_presplit_screen
case_83,case_101,83,101,0.09784579657865822,0.08340714830823769,0.1625672092035329,0.009432564851444237,0.012936259676066313,0.000355045976592163,0.0002030353789147759,0.010405563169382265,0.0006598649814730217,0.0037561545099233542,2,2,True,practically_close_under_integrated_presplit_screen
case_20,case_100,20,100,0.17607494533658177,0.0736437356085982,0.2105020885379404,0.013176157657822736,0.01343069151615376,0.007308948465986961,0.0019288360996903712,0.007055479417288462,0.002740977615349475,0.003908431044109436,1,2,True,practically_close_under_integrated_presplit_screen
case_05,case_46,5,46,0.24166625133095324,0.07005006173031293,0.20020179782482966,0.014998912705588188,0.020947659754225155,0.01342276007352003,0.005888025988528501,0.005938784833257195,0.002081112633876453,0.004635974485220716,1,1,True,practically_close_under_integrated_presplit_screen
case_03,case_09,3,9,0.31805854363380714,0.02624095260990683,0.1146133319569081,0.0020482219603870093,0.0029515445552695694,0.0082464492766439,0.013958682300390842,0.00010151768945738795,5.0758844728693974e-05,0.004703652944858975,2,2,True,practically_close_under_integrated_presplit_screen
case_121,case_188,121,188,0.2308441109637607,0.0462971252498831,0.2644571184614389,0.014633327112421764,0.015063340415321548,0.005416384321812005,0.00497436678341201,0.002182630323333841,0.008324450535505812,0.005160482547417221,1,2,True,practically_close_under_integrated_presplit_screen
case_04,case_46,4,46,0.22453476877769396,0.07282953384130425,0.2418511890141543,0.0027446505361766846,0.004443989265769254,0.00828122209825392,0.004365260646667682,0.006852444038373686,0.005380437541241561,0.0055327140754276435,1,2,True,practically_close_under_integrated_presplit_screen
case_19,case_115,19,115,0.298988101940063,0.03269597433148707,0.24025924841255988,0.004933306152008957,0.00803517941386617,0.0011758605514055288,0.01136998121922745,0.0005583472920156337,0.005177402162326785,0.00570191022452329,1,1,True,practically_close_under_integrated_presplit_screen
case_133,case_189,133,189,0.3175092567616256,0.03354177257235264,0.21655247219472026,0.00716174788790253,0.005088524086143818,0.014704624161453836,0.013806405766204762,0.0006598649814730217,0.0028424953048068625,0.005769588684161549,1,1,True,practically_close_under_integrated_presplit_screen
case_18,case_60,18,60,0.23418417946600356,0.043239910655893526,0.28768753311471107,0.004960330839632989,0.0019683425346910333,0.012435222116636621,0.005177402162326785,0.0015227653418608193,0.011217704685041368,0.005972624063076325,1,1,True,practically_close_under_integrated_presplit_screen
case_85,case_97,85,97,0.28888210220421023,0.041990017277083985,0.2569429546963226,0.0029058770348054323,0.004929159572206588,0.011846331631628123,0.010507080858839652,0.0012182122734886553,0.007055479417288462,0.006260257516538924,1,1,True,practically_close_under_integrated_presplit_screen
case_124,case_156,124,156,0.2820492191258269,0.050621025500425174,0.25026123364770525,0.002856902019485024,0.0032628259414920866,0.02240055319474095,0.009745698187909243,0.0026902187706207806,0.006344855591086747,0.006260257516538924,2,2,True,practically_close_under_integrated_presplit_screen
case_20,case_84,20,84,0.11876873935727315,0.07713959697507998,0.27979747041986497,0.009571762954261875,0.013132818614098124,0.024672054926322358,0.00045682960255824577,0.008070656311862342,0.010304045479924877,0.0062771771314484885,2,1,True,practically_close_under_integrated_presplit_screen
case_122,case_128,122,128,0.20774947292692167,0.08728312425720493,0.24010981642137136,0.025684187983158045,0.021620720972161032,0.048254439948237186,0.0032485660626364143,0.012029846200700472,0.005075884472869397,0.006784765578735428,1,1,True,practically_close_under_integrated_presplit_screen
case_10,case_49,10,49,0.16303905983510678,0.10435296044676635,0.2218472346506205,0.011683448261799378,0.01263551317287037,0.030329035195051528,0.0013197299629460434,0.019237602152175015,0.0033500837520938024,0.007969138622404955,2,1,True,practically_close_under_integrated_presplit_screen
case_41,case_53,41,53,0.23028572520182689,0.0989328317102052,0.21793712104888388,0.0027822711980440814,0.008946425564084726,0.04122891543564712,0.0048220902492259275,0.0168519364499264,0.0030455306837216386,0.008239852460957988,1,1,True,practically_close_under_integrated_presplit_screen
case_127,case_175,127,175,0.3423858511515806,0.04088851780796979,0.25501743257206916,0.01272477239651013,0.00818572741644365,0.007132964574876636,0.01710573067356987,0.0010659357393025734,0.006801685193644992,0.008324450535505812,1,1,True,practically_close_under_integrated_presplit_screen
case_147,case_196,147,196,0.22920852180952242,0.055781906539640776,0.31800577985751816,0.006042612439169055,0.011875003023104685,0.010347950479855228,0.004619054870311151,0.003553119131008578,0.0177148368103142,0.008629003603877977,1,2,True,practically_close_under_integrated_presplit_screen
case_128,case_137,128,137,0.145086726826594,0.08787375980210235,0.29762895468189143,0.029074924214782204,0.023209460582388913,0.0021687058024738954,0.0008121415156591036,0.012283640424343942,0.013248058474189127,0.008781280138064057,2,1,True,practically_close_under_integrated_presplit_screen
case_28,case_82,28,82,0.14184321505516095,0.10897045111148532,0.23058029809463454,0.012268392524704986,0.010084692616968066,0.045434428556340785,0.0007106238262017156,0.02157250900969494,0.004111466423024212,0.008798199752973622,1,1,True,practically_close_under_integrated_presplit_screen
case_04,case_05,4,5,0.30032154202942585,0.0932111586338261,0.14135190181929902,0.012254388287819178,0.016504054583914643,0.021703379051921677,0.011573016598142227,0.01466930612659256,0.00030455306837216383,0.008848958597702317,2,2,True,practically_close_under_integrated_presplit_screen
case_123,case_131,123,131,0.1713843129938894,0.04255253308808041,0.3427300448354431,0.010350989488268491,0.010159209440448064,0.016809368553095023,0.0016242830313182072,0.0013704888076747374,0.023805898177757474,0.00893355667225014,1,1,True,practically_close_under_integrated_presplit_screen
case_49,case_115,49,115,0.30608541421437263,0.0859242207803603,0.22176720223301524,0.0125437567824589,0.005868365093840845,0.02948196817276401,0.012283640424343942,0.01136998121922745,0.0032993249073651086,0.008984315516978833,2,2,True,practically_close_under_integrated_presplit_screen
case_13,case_14,13,14,0.33629952188028617,0.07318171747818841,0.2307770172303622,0.007496933592464578,0.013733931512924125,0.028271999454281344,0.016293589157910765,0.0070047205725597686,0.004162225267752906,0.00915351166607448,1,1,True,practically_close_under_integrated_presplit_screen
case_44,case_109,44,109,0.17871587555622398,0.08404066124134583,0.30712894492707504,0.0017395853089810548,0.001614561802471276,0.024131020929528253,0.002081112633876453,0.010557839703568347,0.015126135729150805,0.009255029355531868,1,1,True,practically_close_under_integrated_presplit_screen
case_184,case_187,184,187,0.14209480646396186,0.11890901079528542,0.11660237752445757,0.02846742431437424,0.029260432139021245,0.003242351233122021,0.0007613826709304097,0.0269529465509365,0.00010151768945738795,0.009271948970441432,1,1,True,practically_close_under_integrated_presplit_screen
case_146,case_175,146,175,0.3100233075981061,0.07608864917981284,0.26145045490917096,0.022349660631596296,0.027395599963146687,0.00988798810617846,0.012943505405816964,0.0077661032434901784,0.007715344398761485,0.00947498434935621,1,2,True,practically_close_under_integrated_presplit_screen
case_121,case_127,121,127,0.2315052048316315,0.09043001962819713,0.29261763043602523,0.016764128134287994,0.02217316858192308,0.017023876852884205,0.005075884472869397,0.01340033500837521,0.01187756966651439,0.010117929715919667,2,2,True,practically_close_under_integrated_presplit_screen
