similarity_group,group_size,case_numbers,case_ids
group_093,6,119;121;127;146;175;188,case_119;case_121;case_127;case_146;case_175;case_188
group_003,4,3;7;8;9,case_03;case_07;case_08;case_09
group_006,4,10;19;49;115,case_10;case_19;case_49;case_115
group_008,4,12;20;84;100,case_12;case_20;case_84;case_100
group_004,3,4;5;46,case_04;case_05;case_46
group_067,3,83;101;120,case_83;case_101;case_120
group_094,3,122;128;137,case_122;case_128;case_137
group_096,3,124;156;190,case_124;case_156;case_190
group_106,3,139;191;192,case_139;case_191;case_192
group_007,2,11;91,case_11;case_91
group_009,2,13;14,case_13;case_14
group_011,2,16;116,case_16;case_116
group_013,2,18;60,case_18;case_60
group_020,2,28;82,case_28;case_82
group_032,2,41;53,case_41;case_53
group_033,2,42;43,case_42;case_43
group_034,2,44;109,case_44;case_109
group_040,2,52;67,case_52;case_67
group_042,2,55;88,case_55;case_88
group_047,2,61;107,case_61;case_107
group_068,2,85;97,case_85;case_97
group_095,2,123;131,case_123;case_131
group_097,2,125;130,case_125;case_130
group_101,2,133;189,case_133;case_189
group_107,2,140;198,case_140;case_198
group_113,2,147;196,case_147;case_196
group_119,2,153;169,case_153;case_169
group_147,2,184;187,case_184;case_187
group_000,1,0,case_00
group_001,1,1,case_01
group_002,1,2,case_02
group_005,1,6,case_06
group_010,1,15,case_15
group_012,1,17,case_17
group_014,1,21,case_21
group_015,1,22,case_22
group_016,1,23,case_23
group_017,1,24,case_24
group_018,1,26,case_26
group_019,1,27,case_27
group_021,1,29,case_29
group_022,1,31,case_31
group_023,1,32,case_32
group_024,1,33,case_33
group_025,1,34,case_34
group_026,1,35,case_35
group_027,1,36,case_36
group_028,1,37,case_37
group_029,1,38,case_38
group_030,1,39,case_39
group_031,1,40,case_40
group_035,1,45,case_45
group_036,1,47,case_47
group_037,1,48,case_48
group_038,1,50,case_50
group_039,1,51,case_51
group_041,1,54,case_54
group_043,1,56,case_56
group_044,1,57,case_57
group_045,1,58,case_58
group_046,1,59,case_59
group_048,1,62,case_62
group_049,1,63,case_63
group_050,1,64,case_64
group_051,1,65,case_65
group_052,1,66,case_66
group_053,1,68,case_68
group_054,1,69,case_69
group_055,1,70,case_70
group_056,1,71,case_71
group_057,1,72,case_72
group_058,1,73,case_73
group_059,1,74,case_74
group_060,1,75,case_75
group_061,1,76,case_76
group_062,1,77,case_77
group_063,1,78,case_78
group_064,1,79,case_79
group_065,1,80,case_80
group_066,1,81,case_81
group_069,1,86,case_86
group_070,1,87,case_87
group_071,1,89,case_89
group_072,1,90,case_90
group_073,1,92,case_92
group_074,1,93,case_93
group_075,1,94,case_94
group_076,1,95,case_95
group_077,1,96,case_96
group_078,1,98,case_98
group_079,1,99,case_99
group_080,1,102,case_102
group_081,1,103,case_103
group_082,1,104,case_104
group_083,1,105,case_105
group_084,1,106,case_106
group_085,1,108,case_108
group_086,1,110,case_110
group_087,1,111,case_111
group_088,1,112,case_112
group_089,1,113,case_113
group_090,1,114,case_114
group_091,1,117,case_117
group_092,1,118,case_118
group_098,1,126,case_126
group_099,1,129,case_129
group_100,1,132,case_132
group_102,1,134,case_134
group_103,1,135,case_135
group_104,1,136,case_136
group_105,1,138,case_138
group_108,1,141,case_141
group_109,1,142,case_142
group_110,1,143,case_143
group_111,1,144,case_144
group_112,1,145,case_145
group_114,1,148,case_148
group_115,1,149,case_149
group_116,1,150,case_150
group_117,1,151,case_151
group_118,1,152,case_152
group_120,1,154,case_154
group_121,1,155,case_155
group_122,1,157,case_157
group_123,1,158,case_158
group_124,1,159,case_159
group_125,1,160,case_160
group_126,1,161,case_161
group_127,1,162,case_162
group_128,1,163,case_163
group_129,1,164,case_164
group_130,1,165,case_165
group_131,1,166,case_166
group_132,1,167,case_167
group_133,1,168,case_168
group_134,1,170,case_170
group_135,1,171,case_171
group_136,1,172,case_172
group_137,1,173,case_173
group_138,1,174,case_174
group_139,1,176,case_176
group_140,1,177,case_177
group_141,1,178,case_178
group_142,1,179,case_179
group_143,1,180,case_180
group_144,1,181,case_181
group_145,1,182,case_182
group_146,1,183,case_183
group_148,1,185,case_185
group_149,1,186,case_186
group_150,1,193,case_193
group_151,1,194,case_194
group_152,1,195,case_195
group_153,1,197,case_197
group_154,1,199,case_199
group_155,1,200,case_200
