iteration,similarity_group,n_splits_used_by_group,leakage_detected
1,group_000,1,False
1,group_001,1,False
1,group_002,1,False
1,group_003,1,False
1,group_004,1,False
1,group_005,1,False
1,group_006,1,False
1,group_007,1,False
1,group_008,1,False
1,group_009,1,False
1,group_010,1,False
1,group_011,1,False
1,group_012,1,False
1,group_013,1,False
1,group_014,1,False
1,group_015,1,False
1,group_016,1,False
1,group_017,1,False
1,group_018,1,False
1,group_019,1,False
1,group_020,1,False
1,group_021,1,False
1,group_022,1,False
1,group_023,1,False
1,group_024,1,False
1,group_025,1,False
1,group_026,1,False
1,group_027,1,False
1,group_028,1,False
1,group_029,1,False
1,group_030,1,False
1,group_031,1,False
1,group_032,1,False
1,group_033,1,False
1,group_034,1,False
1,group_035,1,False
1,group_036,1,False
1,group_037,1,False
1,group_038,1,False
1,group_039,1,False
1,group_040,1,False
1,group_041,1,False
1,group_042,1,False
1,group_043,1,False
1,group_044,1,False
1,group_045,1,False
1,group_046,1,False
1,group_047,1,False
1,group_048,1,False
1,group_049,1,False
1,group_050,1,False
1,group_051,1,False
1,group_052,1,False
1,group_053,1,False
1,group_054,1,False
1,group_055,1,False
1,group_056,1,False
1,group_057,1,False
1,group_058,1,False
1,group_059,1,False
1,group_060,1,False
1,group_061,1,False
1,group_062,1,False
1,group_063,1,False
1,group_064,1,False
1,group_065,1,False
1,group_066,1,False
1,group_067,1,False
1,group_068,1,False
1,group_069,1,False
1,group_070,1,False
1,group_071,1,False
1,group_072,1,False
1,group_073,1,False
1,group_074,1,False
1,group_075,1,False
1,group_076,1,False
1,group_077,1,False
1,group_078,1,False
1,group_079,1,False
1,group_080,1,False
1,group_081,1,False
1,group_082,1,False
1,group_083,1,False
1,group_084,1,False
1,group_085,1,False
1,group_086,1,False
1,group_087,1,False
1,group_088,1,False
1,group_089,1,False
1,group_090,1,False
1,group_091,1,False
1,group_092,1,False
1,group_093,1,False
1,group_094,1,False
1,group_095,1,False
1,group_096,1,False
1,group_097,1,False
1,group_098,1,False
1,group_099,1,False
1,group_100,1,False
1,group_101,1,False
1,group_102,1,False
1,group_103,1,False
1,group_104,1,False
1,group_105,1,False
1,group_106,1,False
1,group_107,1,False
1,group_108,1,False
1,group_109,1,False
1,group_110,1,False
1,group_111,1,False
1,group_112,1,False
1,group_113,1,False
1,group_114,1,False
1,group_115,1,False
1,group_116,1,False
1,group_117,1,False
1,group_118,1,False
1,group_119,1,False
1,group_120,1,False
1,group_121,1,False
1,group_122,1,False
1,group_123,1,False
1,group_124,1,False
1,group_125,1,False
1,group_126,1,False
1,group_127,1,False
1,group_128,1,False
1,group_129,1,False
1,group_130,1,False
1,group_131,1,False
1,group_132,1,False
1,group_133,1,False
1,group_134,1,False
1,group_135,1,False
1,group_136,1,False
1,group_137,1,False
1,group_138,1,False
1,group_139,1,False
1,group_140,1,False
1,group_141,1,False
1,group_142,1,False
1,group_143,1,False
1,group_144,1,False
1,group_145,1,False
1,group_146,1,False
1,group_147,1,False
1,group_148,1,False
1,group_149,1,False
1,group_150,1,False
1,group_151,1,False
1,group_152,1,False
1,group_153,1,False
1,group_154,1,False
1,group_155,1,False
2,group_000,1,False
2,group_001,1,False
2,group_002,1,False
2,group_003,1,False
2,group_004,1,False
2,group_005,1,False
