case_id,case_number,similarity_group
case_00,0,group_000
case_01,1,group_001
case_02,2,group_002
case_03,3,group_003
case_04,4,group_004
case_05,5,group_004
case_06,6,group_005
case_07,7,group_003
case_08,8,group_003
case_09,9,group_003
case_10,10,group_006
case_11,11,group_007
case_12,12,group_008
case_13,13,group_009
case_14,14,group_009
case_15,15,group_010
case_16,16,group_011
case_17,17,group_012
case_18,18,group_013
case_19,19,group_006
case_20,20,group_008
case_21,21,group_014
case_22,22,group_015
case_23,23,group_016
case_24,24,group_017
case_26,26,group_018
case_27,27,group_019
case_28,28,group_020
case_29,29,group_021
case_31,31,group_022
case_32,32,group_023
case_33,33,group_024
case_34,34,group_025
case_35,35,group_026
case_36,36,group_027
case_37,37,group_028
case_38,38,group_029
case_39,39,group_030
case_40,40,group_031
case_41,41,group_032
case_42,42,group_033
case_43,43,group_033
case_44,44,group_034
case_45,45,group_035
case_46,46,group_004
case_47,47,group_036
case_48,48,group_037
case_49,49,group_006
case_50,50,group_038
case_51,51,group_039
case_52,52,group_040
case_53,53,group_032
case_54,54,group_041
case_55,55,group_042
case_56,56,group_043
case_57,57,group_044
case_58,58,group_045
case_59,59,group_046
case_60,60,group_013
case_61,61,group_047
case_62,62,group_048
case_63,63,group_049
case_64,64,group_050
case_65,65,group_051
case_66,66,group_052
case_67,67,group_040
case_68,68,group_053
case_69,69,group_054
case_70,70,group_055
case_71,71,group_056
case_72,72,group_057
case_73,73,group_058
case_74,74,group_059
case_75,75,group_060
case_76,76,group_061
case_77,77,group_062
case_78,78,group_063
case_79,79,group_064
case_80,80,group_065
case_81,81,group_066
case_82,82,group_020
case_83,83,group_067
case_84,84,group_008
case_85,85,group_068
case_86,86,group_069
case_87,87,group_070
case_88,88,group_042
case_89,89,group_071
case_90,90,group_072
case_91,91,group_007
case_92,92,group_073
case_93,93,group_074
case_94,94,group_075
case_95,95,group_076
case_96,96,group_077
case_97,97,group_068
case_98,98,group_078
case_99,99,group_079
case_100,100,group_008
case_101,101,group_067
case_102,102,group_080
case_103,103,group_081
case_104,104,group_082
case_105,105,group_083
case_106,106,group_084
case_107,107,group_047
case_108,108,group_085
case_109,109,group_034
case_110,110,group_086
case_111,111,group_087
case_112,112,group_088
case_113,113,group_089
case_114,114,group_090
case_115,115,group_006
case_116,116,group_011
case_117,117,group_091
case_118,118,group_092
case_119,119,group_093
case_120,120,group_067
case_121,121,group_093
case_122,122,group_094
case_123,123,group_095
case_124,124,group_096
case_125,125,group_097
case_126,126,group_098
case_127,127,group_093
case_128,128,group_094
case_129,129,group_099
case_130,130,group_097
case_131,131,group_095
case_132,132,group_100
case_133,133,group_101
case_134,134,group_102
case_135,135,group_103
case_136,136,group_104
case_137,137,group_094
case_138,138,group_105
case_139,139,group_106
case_140,140,group_107
case_141,141,group_108
case_142,142,group_109
case_143,143,group_110
case_144,144,group_111
case_145,145,group_112
case_146,146,group_093
case_147,147,group_113
case_148,148,group_114
case_149,149,group_115
case_150,150,group_116
case_151,151,group_117
case_152,152,group_118
case_153,153,group_119
case_154,154,group_120
case_155,155,group_121
case_156,156,group_096
case_157,157,group_122
case_158,158,group_123
case_159,159,group_124
case_160,160,group_125
case_161,161,group_126
case_162,162,group_127
case_163,163,group_128
case_164,164,group_129
case_165,165,group_130
case_166,166,group_131
case_167,167,group_132
case_168,168,group_133
case_169,169,group_119
case_170,170,group_134
case_171,171,group_135
case_172,172,group_136
case_173,173,group_137
case_174,174,group_138
case_175,175,group_093
case_176,176,group_139
case_177,177,group_140
case_178,178,group_141
case_179,179,group_142
case_180,180,group_143
case_181,181,group_144
case_182,182,group_145
case_183,183,group_146
case_184,184,group_147
case_185,185,group_148
case_186,186,group_149
case_187,187,group_147
case_188,188,group_093
case_189,189,group_101
case_190,190,group_096
case_191,191,group_106
case_192,192,group_106
case_193,193,group_150
case_194,194,group_151
case_195,195,group_152
case_196,196,group_113
case_197,197,group_153
case_198,198,group_107
case_199,199,group_154
case_200,200,group_155
