variable,role,mean,std
fluence_rate,input,3.6753028037632354,0.530309004539831
temperature,input,385.06427413979765,24.57546152162043
weight_loss_rate,input,0.39733398739933007,0.08705113373884932
rho,input,182.9317056481871,19.622781477846388
theta_sin,input,0.3453824774897387,0.15871880563636756
theta_cos,input,0.9226660192581461,0.06485909264165873
z,input,463.13531230560153,265.21601285775256
fluence_rate_within_case_z,input,0.2318970093559201,1.1876477801282983
temperature_within_case_z,input,0.22611893279493014,1.189471550890985
weight_loss_rate_within_case_z,input,0.20070939542680233,1.1813230369806744
rho_within_case_z,input,-0.2601899761156354,1.12757951496802
theta_sin_within_case_z,input,0.08645486210978469,1.2088491233562078
theta_cos_within_case_z,input,-0.18695438499293948,1.2951369449246637
z_within_case_z,input,0.0770589842341401,1.0321152028946237
fluence_rate_mean,input,3.5831292037109157,0.36437146051838365
fluence_rate_p95,input,4.4181847071749365,0.21703235018678368
temperature_mean,input,381.6484038964673,18.68030996575759
temperature_p95,input,412.7682741215661,18.497981685876518
weight_loss_rate_mean,input,0.3868567315112222,0.06873211116138234
weight_loss_rate_std,input,0.05039979226137527,0.008512504658466011
rho_mean,input,187.45231589945155,0.3136963648194435
rho_std,input,17.378678490151355,0.02208217976718587
rho_max,input,223.07392883308248,0.4175345512869526
z_mean,input,443.334407005489,0.6078464647906605
z_std,input,256.9693895870036,0.28886545490492405
z_max,input,885.2643140288636,1.1771897664168027
theta_sin_std,input,0.13129457380578197,7.944612096857927e-05
normalised_spatial_shape,target,0.2857395618164262,1.1031783386139056
